userId,movieId,rating
99999998,104374,5.0
99999998,1608,1.5
99999998,55765,2.0
99999998,150,2.0
99999998,1270,2.5
99999998,7361,1.0
99999998,7151,1.5
99999998,3578,2.5
99999998,8132,2.5
99999998,1704,3.0
99999998,79132,3.5
99999998,3554,3.5
99999998,1136,2.0
99999998,2502,2.0
99999998,3936,2.0
99999998,7579,4.5
99999998,7669,4.5
99999998,4054,2.5
99999998,2028,2.0
99999998,3253,1.0
99999999,93510,3.5
99999999,1214,5.0
99999999,1200,4.0
99999999,1270,5.0
99999999,122904,4.5
99999999,115713,5.0
99999999,1704,4.0
99999999,112852,2.5
99999999,51255,4.0
99999999,79132,3.5
99999999,109487,1.0
99999999,1136,4.0
99999999,3527,1.5
99999999,296,4.5
99999999,2028,1.5
99999999,8874,4.0
99999999,3253,3.5
